Date	Price	Open	High	Low	Vol.	Change %
19-Apr-18	"34,427.29"	"34,403.67"	"34,478.82"	"34,358.91"	7.83K	0.28%
20-Apr-18	"34,415.58"	"34,434.14"	"34,487.33"	"34,311.29"	10.48K	-0.03%
23-Apr-18	"34,450.77"	"34,493.69"	"34,663.95"	"34,259.27"	9.85K	0.10%
24-Apr-18	"34,616.64"	"34,491.38"	"34,706.71"	"34,465.49"	8.71K	0.48%
25-Apr-18	"34,501.27"	"34,593.17"	"34,631.27"	"34,400.56"	7.96K	-0.33%
26-Apr-18	"34,713.60"	"34,532.95"	"34,747.97"	"34,505.62"	10.27K	0.62%
27-Apr-18	"34,969.70"	"34,747.04"	"35,065.37"	"34,744.73"	16.71K	0.74%
30-Apr-18	"35,160.36"	"35,021.20"	"35,213.30"	"35,004.00"	7.07K	0.55%
02-May-18	"35,176.42"	"35,328.91"	"35,357.15"	"35,072.42"	8.98K	0.05%
03-May-18	"35,103.14"	"35,257.31"	"35,257.31"	"35,020.08"	7.90K	-0.21%
04-May-18	"34,915.38"	"35,144.96"	"35,206.55"	"34,847.61"	8.04K	-0.53%
07-May-18	"35,208.14"	"34,983.59"	"35,259.81"	"34,977.74"	13.02K	0.84%
08-May-18	"35,216.32"	"35,349.85"	"35,388.87"	"35,136.01"	14.61K	0.02%
09-May-18	"35,319.35"	"35,198.08"	"35,404.83"	"35,134.20"	9.69K	0.29%
10-May-18	"35,246.27"	"35,353.96"	"35,500.76"	"35,203.85"	8.73K	-0.21%
11-May-18	"35,535.79"	"35,287.99"	"35,596.15"	"35,262.06"	9.21K	0.82%
14-May-18	"35,556.71"	"35,555.83"	"35,642.72"	"35,456.56"	9.28K	0.06%
15-May-18	"35,543.94"	"35,537.85"	"35,993.53"	"35,497.92"	12.36K	-0.04%
16-May-18	"35,387.88"	"35,452.35"	"35,543.89"	"35,241.63"	11.21K	-0.44%
17-May-18	"35,149.12"	"35,483.62"	"35,510.01"	"35,087.82"	11.28K	-0.67%
18-May-18	"34,848.30"	"35,143.59"	"35,163.11"	"34,821.62"	9.81K	-0.86%
21-May-18	"34,616.13"	"34,873.16"	"34,973.95"	"34,593.82"	6.72K	-0.67%
22-May-18	"34,651.24"	"34,601.49"	"34,754.60"	"34,550.22"	12.36K	0.10%
23-May-18	"34,344.91"	"34,656.63"	"34,668.47"	"34,302.89"	11.57K	-0.88%
24-May-18	"34,663.11"	"34,404.14"	"34,741.46"	"34,367.83"	16.27K	0.93%
25-May-18	"34,924.87"	"34,753.47"	"35,017.93"	"34,700.52"	10.62K	0.76%
28-May-18	"35,165.48"	"35,074.32"	"35,240.96"	"35,006.50"	11.47K	0.69%
29-May-18	"34,949.24"	"35,213.14"	"35,234.14"	"34,922.18"	8.70K	-0.61%
30-May-18	"34,906.11"	"34,876.13"	"35,017.45"	"34,735.11"	11.17K	-0.12%
31-May-18	"35,322.38"	"35,083.81"	"35,416.03"	"34,926.08"	23.58K	1.19%
01-Jun-18	"35,227.26"	"35,373.98"	"35,438.22"	"35,177.35"	12.27K	-0.27%
04-Jun-18	"35,011.89"	"35,503.24"	"35,555.59"	"34,982.25"	30.28K	-0.61%
05-Jun-18	"34,903.21"	"35,029.45"	"35,073.12"	"34,784.68"	8.64K	-0.31%
06-Jun-18	"35,178.88"	"34,932.49"	"35,230.54"	"34,896.37"	10.44K	0.79%
07-Jun-18	"35,463.08"	"35,278.38"	"35,628.49"	"35,278.38"	9.15K	0.81%
08-Jun-18	"35,443.67"	"35,406.47"	"35,484.94"	"35,260.00"	10.20K	-0.05%
11-Jun-18	"35,483.47"	"35,472.59"	"35,704.84"	"35,444.49"	11.42K	0.11%
12-Jun-18	"35,692.52"	"35,525.30"	"35,743.08"	"35,479.07"	11.42K	0.59%
13-Jun-18	"35,739.16"	"35,835.44"	"35,877.41"	"35,715.96"	12.28K	0.13%
14-Jun-18	"35,599.82"	"35,743.10"	"35,749.88"	"35,488.55"	10.11K	-0.39%
15-Jun-18	"35,622.14"	"35,656.26"	"35,675.20"	"35,419.68"	9.32K	0.06%
18-Jun-18	"35,548.26"	"35,698.43"	"35,721.55"	"35,518.73"	8.28K	-0.21%
19-Jun-18	"35,286.74"	"35,552.47"	"35,552.47"	"35,249.06"	9.30K	-0.74%
20-Jun-18	"35,547.33"	"35,329.61"	"35,571.37"	"35,329.51"	10.50K	0.74%
21-Jun-18	"35,432.39"	"35,644.05"	"35,678.69"	"35,396.97"	64.24K	-0.32%
22-Jun-18	"35,689.60"	"35,428.42"	"35,741.26"	"35,344.49"	15.25K	0.73%
25-Jun-18	"35,470.35"	"35,783.75"	"35,806.97"	"35,430.11"	12.23K	-0.61%
26-Jun-18	"35,490.04"	"35,355.72"	"35,616.64"	"35,338.09"	11.87K	0.06%
27-Jun-18	"35,217.11"	"35,543.89"	"35,618.85"	"35,154.21"	11.57K	-0.77%
28-Jun-18	"35,037.64"	"35,207.19"	"35,282.40"	"34,937.15"	13.35K	-0.51%
29-Jun-18	"35,423.48"	"35,128.16"	"35,459.05"	"35,099.65"	39.02K	1.10%
02-Jul-18	"35,264.41"	"35,545.22"	"35,578.24"	"35,106.57"	15.26K	-0.45%
03-Jul-18	"35,378.60"	"35,344.21"	"35,445.21"	"35,195.63"	7.90K	0.32%
04-Jul-18	"35,645.40"	"35,385.52"	"35,667.31"	"35,309.67"	12.32K	0.75%
05-Jul-18	"35,574.55"	"35,703.17"	"35,748.26"	"35,517.79"	19.92K	-0.20%
06-Jul-18	"35,657.86"	"35,543.66"	"35,799.71"	"35,532.21"	15.06K	0.23%
09-Jul-18	"35,934.72"	"35,835.10"	"35,977.37"	"35,779.72"	8.66K	0.78%
10-Jul-18	"36,239.62"	"36,068.27"	"36,274.33"	"36,019.63"	9.10K	0.85%
11-Jul-18	"36,265.93"	"36,299.26"	"36,362.30"	"36,169.70"	9.68K	0.07%
12-Jul-18	"36,548.41"	"36,424.23"	"36,699.53"	"36,422.08"	12.67K	0.78%
13-Jul-18	"36,541.63"	"36,635.14"	"36,740.07"	"36,501.61"	12.33K	-0.02%
16-Jul-18	"36,323.77"	"36,658.71"	"36,658.71"	"36,298.94"	9.92K	-0.60%
17-Jul-18	"36,519.96"	"36,390.99"	"36,549.55"	"36,261.78"	9.48K	0.54%
18-Jul-18	"36,373.44"	"36,722.41"	"36,747.87"	"36,320.92"	19.05K	-0.40%
19-Jul-18	"36,351.23"	"36,509.08"	"36,515.58"	"36,279.33"	9.67K	-0.06%
20-Jul-18	"36,496.37"	"36,377.03"	"36,567.34"	"36,335.61"	16.78K	0.40%
23-Jul-18	"36,718.60"	"36,501.05"	"36,749.69"	"36,491.83"	8.26K	0.61%
24-Jul-18	"36,825.10"	"36,859.39"	"36,902.06"	"36,709.72"	12.01K	0.29%
25-Jul-18	"36,858.23"	"36,928.06"	"36,947.18"	"36,803.15"	11.34K	0.09%
26-Jul-18	"36,984.64"	"36,928.38"	"37,061.62"	"36,852.53"	18.38K	0.34%
27-Jul-18	"37,336.85"	"37,253.86"	"37,368.62"	"37,134.88"	15.21K	0.95%
30-Jul-18	"37,494.40"	"37,491.39"	"37,533.50"	"37,292.45"	14.48K	0.42%
31-Jul-18	"37,606.58"	"37,534.95"	"37,644.59"	"37,298.75"	14.36K	0.30%
01-Aug-18	"37,521.62"	"37,643.87"	"37,711.87"	"37,432.91"	16.57K	-0.23%
02-Aug-18	"37,165.16"	"37,529.69"	"37,529.69"	"37,128.99"	12.06K	-0.95%
03-Aug-18	"37,556.16"	"37,327.16"	"37,582.27"	"37,319.61"	18.34K	1.05%
06-Aug-18	"37,691.89"	"37,714.70"	"37,805.25"	"37,643.29"	12.78K	0.36%
07-Aug-18	"37,665.80"	"37,849.21"	"37,876.87"	"37,586.88"	16.41K	-0.07%
08-Aug-18	"37,887.56"	"37,756.24"	"37,931.42"	"37,641.40"	9.71K	0.59%
09-Aug-18	"38,024.37"	"37,994.51"	"38,076.23"	"37,939.28"	15.78K	0.36%
10-Aug-18	"37,869.23"	"38,050.07"	"38,051.45"	"37,815.75"	16.08K	-0.41%
13-Aug-18	"37,644.90"	"37,693.19"	"37,799.54"	"37,559.26"	11.77K	-0.59%
14-Aug-18	"37,852.00"	"37,749.59"	"37,932.40"	"37,689.71"	11.56K	0.55%
16-Aug-18	"37,663.56"	"37,796.01"	"37,891.92"	"37,634.13"	13.37K	-0.50%
17-Aug-18	"37,947.88"	"37,898.60"	"38,022.32"	"37,840.16"	10.31K	0.75%
20-Aug-18	"38,278.75"	"38,075.07"	"38,340.69"	"38,050.69"	12.17K	0.87%
21-Aug-18	"38,285.75"	"38,360.32"	"38,402.96"	"38,213.87"	9.19K	0.02%
23-Aug-18	"38,336.76"	"38,416.65"	"38,487.63"	"38,227.36"	11.38K	0.13%
24-Aug-18	"38,251.80"	"38,366.79"	"38,429.50"	"38,172.77"	11.03K	-0.22%
27-Aug-18	"38,694.11"	"38,472.03"	"38,736.88"	"38,416.73"	11.14K	1.16%
28-Aug-18	"38,896.63"	"38,814.76"	"38,938.91"	"38,760.58"	10.16K	0.52%
29-Aug-18	"38,722.93"	"38,989.65"	"38,989.65"	"38,679.57"	11.82K	-0.45%
30-Aug-18	"38,690.10"	"38,796.98"	"38,819.06"	"38,581.83"	11.10K	-0.08%
